950,0
900,0
867.1100617,1.90824312
848.3478917,4.55388654
830.0415613,7.430891533
811.8433174,11.34510021
795.4511274,19.07019112
784.0339848,16.81396582
770.679935,13.50600372
756.8591835,11.7779756
683.1506136,27.62499603
672.8176694,50.09625067
668.3836466,55.22423317
661.3677393,57.73050812
643.228244,37.4845157
625.1217703,40.45992575
612.8120138,34.42508967
596.2733486,28.31683881
584.1049992,29.33619384
565.1739999,29.63710808
554.8316187,38.77089583
536.3105359,39.33655072
530.8524932,34.55409672
515.5036248,39.85113049
499.5761472,34.89161874
486.6531177,39.76574743
479.68442,46.72085143
470.5032148,33.77437633
455.0859516,31.4156061
441.1248196,31.31241836
426.2459595,37.20110582
413.7487401,43.50185633
407.2999192,51.44649128
391.7365827,39.13626839
378.9038306,40.39302401
372.3409551,48.29561475
364.1785681,37.00702829
357.6163241,25.74366363
349.8914305,17.7456327
338.5216528,7.591316328
322.4208216,13.9735361
314.8326008,17.76288048
286.3846208,9.786125184
271.7412995,11.79707943
254.9857157,10.22903929
236.4298461,10.24185412
225.7034636,9.888207743
213.4711492,7.41440856
187.0822889,4.747293068
180.5677255,4.593830909
162.0581681,3.23761697
606.867175,29.96773699
621.2484417,31.89150684
623.6224027,36.03351377
628.3703247,44.31752763
631.9983599,39.34264639
635.6230819,34.92025363
650.025885,33.25284838
654.7936866,38.22193139
657.1295449,48.7175558
655.9583024,44.02223207
657.699428,53.68953792
676.3465354,44.28439489
679.9845104,37.65204822
686.0875616,19.9682754
687.3300394,12.78509689
692.1740463,5.046944954
700.579823,3.383681296
707.7530617,7.246130717
718.5046365,14.42102604
723.8588877,21.59964879
726.8093583,29.6086609
730.339652,40.9321897
731.4529122,55.29606176
732.5661723,69.65993382
734.2990147,80.70846086
734.8390784,90.65283927
738.3793119,100.3189026
742.0189436,93.41031174
743.2813011,82.91220237
743.9538958,70.75704174
745.8258957,58.60105279
748.353924,37.05234559
749.6427876,22.13432842
303.4971609,16.91757816
296.9302514,11.94973763
200.4145734,5.939044038
146.4612161,2.661387516
129.073153,2.120909659
104.4903149,1.309157476
83.50403598,0.771164574
57.71847937,0.512729185
36.12918456,0.527638919
25,0.25
10,0
5,0
